Date,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2023-01-01,128.34377579682,145.04186167696574,122.32458209248287,142.1455535888672,1443652500
2023-02-01,141.83031546570362,155.0410193183595,139.2197058447146,145.2191925048828,1307198900
2023-03-01,144.86865187285883,162.79593585053084,141.97778288038697,162.697265625,1520266600
2023-04-01,162.0757141690706,167.58117930762924,157.64568538718413,167.41343688964844,969776400
2023-05-01,167.0187995107385,176.95429423240464,162.11518630519384,174.88233947753906,1275364700
2023-06-01,175.56881616838976,192.14757008838143,174.80804666426903,191.64369201660156,1297383300
2023-07-01,191.45594170361773,195.852568608721,184.36206066415906,194.0939178466797,996114000
2023-08-01,193.88647982578541,194.37059355913573,169.89767345747217,185.61685180664062,1322657800
2023-09-01,187.47023905868676,187.95500650663544,165.8333402537617,169.3850860595703,1337823000
2023-10-01,169.39495320152477,180.39641937981958,163.90410808694622,168.9497528076172,1172816900
2023-11-01,169.17732793736914,190.87357099336182,168.306702939439,187.9253387451172,1099651600
2023-12-01,188.54934517004608,197.75242473649973,185.69628454105055,190.728759765625,1063181200
